"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：安神补心颗粒
汉语拼音：Anshen Buxin Keli",【成份】丹参、五味子(蒸)、石菖蒲、安神膏,,【功能主治】养心安神。用于心悸失眠，头晕耳鸣。
"【药品名称】
通用名称：安神补心丸
汉语拼音：an shen bu xin wan",【成份】丹参、五味子(蒸)、石菖蒲、合欢皮、菟丝子、墨旱莲、女贞子、首乌藤、地黄、珍珠母。,【性状】本品为棕褐色的浓缩丸；味涩、微酸。,【功能主治】养心安神。用于心血不足、虚火内扰所致的心悸失眠、头晕耳鸣。
"【药品名称】
通用名称：澳泰乐颗粒
汉语拼音：Aotaile Keli",【成份】返魂草郁金、黄精(蒸)白芍、麦牙,【性状】本品为淡棕黄色或棕褐色的颗粒；味甜。,【功能主治】　舒肝理气，清热解毒。用于疲乏无力，厌油腻，纳呆食少，胁痛腹胀，口苦恶心，甲、乙型肝炎及各种慢性肝炎见上述症候者。
"【药品名称】
通用名称：阿归养血口服液
汉语拼音：Egui Yangxue Koufuye",【成份】当归、党参、白芍、炙甘草、茯苓、黄芪、川芎、阿胶、熟地黄、蔗糖、苯甲酸钠,,【功能主治】补气养血。用于气血亏虚所致的面色萎黄，眩晕乏力，消瘦。
"【药品名称】
通用名称：阿归养血糖浆（当归养血膏）
汉语拼音：Egui Yangxue Tangjiang",【成份】当归，白芍，茯苓，熟地黄，阿胶，党参，甘草（蜜炙），黄芪，川芎、炙甘草。辅料为糊精、蔗糖。,【性状】本品为深褐色的粘稠液体；气微香，味甜，涩、微苦、辛。,【功能主治】同阿归养血颗粒。
"【药品名称】
通用名称：阿胶（液体）
汉语拼音：e jiao(ye ti)",【成份】阿胶稠膏。辅料：冰糖、黄酒。,【性状】本品为棕色至红棕色的澄清液体；气香，味甜,【功能主治】补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽。
"【药品名称】
通用名称：阿胶补血颗粒
汉语拼音：Ejiao Buxue Keli",【成份】阿胶、熟地黄、党参、黄芪、枸杞子、白术。,【性状】本品为棕褐色的颗粒；味甜、微苦。,【功能主治】益气补血。用于久病体弱，气虚血亏。
"【药品名称】
通用名称：阿胶参芪酒
汉语拼音：e jiao shen qi jiu",【成份】阿胶、人参、熟地黄、党参、枸杞子、黄芪、当归、茯苓、甘草、川穹、肉桂、白芍、白术等,,【功能主治】补气健脾，养血安神。用于神疲乏力，少气懒言，食少纳呆，头晕目眩，心悸失眠。
"【药品名称】
通用名称：阿胶颗粒
汉语拼音：Ejiao Keli",【成份】阿胶。,【性状】本品为浅棕色的长方形块或颗粒；气微，味甜。,【功能主治】滋阴养血，补肺润燥。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽，贫血。
"【药品名称】
通用名称：阿胶牡蛎口服液
汉语拼音：e jiao mu li kou fu ye",【成份】阿胶、牡蛎,【性状】本品为棕红色的粘稠液体；味甜。,【功能主治】补益肝肾。用于小儿佝偻病，症见毛发欠泽，枕秃，多汗，方颅鸡胸，夜惊或夜啼，烦躁不安。
"【药品名称】
通用名称：阿胶泡腾颗粒（冲剂）
汉语拼音：e jiao pao teng ke li(chong ji)",,,【功能主治】补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽。
"【药品名称】
通用名称：阿胶强骨口服液
汉语拼音：e jiao jiang gu kou fu ye",【成份】熟地黄、阿胶、枸杞子、牡蛎等。,【性状】本品为深棕色粘稠液体，味甜。,【功能主治】补益肝肾，填精壮骨。用于原发性骨质疏松症肝肾不足证，症见：腰脊疼痛或腰膝酸软，麻木抽搐，不能持重，目眩耳鸣，虚烦不寐以及小儿佝偻病肝肾不足证；症见：毛发憔悴，多汗。
"【药品名称】
通用名称：阿胶生化膏
汉语拼音：Ejiao Shenghua Gao",【成份】阿胶、熟地黄、黄芪、川芎、路路通、赤芍、麦冬、当归、益母草、关木通、桃仁、甘草、王不留行、,【性状】本品为棕褐色稠厚的半流体；气微，味先甜后苦。,【功能主治】滋阴养血，祛瘀生新，通乳。用于妇女产后血虚体弱，瘀血不清，下腹疼痛，乳汁不通。
"【药品名称】
通用名称：阿胶益寿晶
汉语拼音：Ejiao Yishou Jing",【成份】炙黄芪、人参、阿胶、熟地黄、制何首乌、陈皮、木香、甘草。,【性状】本品为棕色的颗粒；味甜、微苦。,【功能主治】补气养血，用于气血双亏，四肢无力，腰膝酸软，面黄肌瘦，健忘失眠，妇女产后诸虚。
"【药品名称】
通用名称：阿胶远志膏
汉语拼音：Ejiao Yuanzhi Gao",【成份】地黄、麦冬、丹参、远志、石菖蒲、当归、茯苓、阿胶、龟甲、酸枣仁（炒）、红糖、蔗糖,,【功能主治】宁心安神。用于气阴两虚所致的心悸，头晕，失眠，多梦。
"【药品名称】
通用名称：阿胶珍珠膏
汉语拼音：e jiao zhen zhu gao",【成份】阿胶、人参、熟地黄、地黄、天冬、制何首乌、枸杞子、女贞子（盐炒）、当归、白芍、山药（麸炒）、肉苁蓉、巴戟天、泽泻、木香、珍珠、砂仁。辅料：蜂蜜。,【性状】本品为棕褐色的粘稠液体；味甜。,【功能主治】滋阴补肾，益气养血。用于缓解中老年妇女气血两虚引起的贫血，精神倦怠，乏力，头晕眼花，腰膝酸软。
"【药品名称】
通用名称：阿那日五味散
汉语拼音：a na ri wu wei san",【成份】石榴，干姜，肉桂，砂仁，荜茇。,"【性状】本品为黄色粉末；气香,味辛。",【功能主治】温胃，消食。用于胃脘寒痛，消化不良，肾寒腰疼。
"【药品名称】
通用名称：阿珍养血口服液
汉语拼音：E‘zhen Yangxue Koufuye",【成份】阿胶、水溶性珍珠粉、制何首乌、桑椹、明党参、蜂蜜、当归、地肤子、佛手、麦芽,【性状】本品为棕黄色至棕红色的液体；味甜、微苦。,【功能主治】养血润肤。用于肝血不足所致头晕，心悸，肌肤干燥，血色欠佳。
"【药品名称】
通用名称：艾附暖宫丸（小蜜丸）
汉语拼音：ai fu nuan gong wan(xiao mi wan)",【成份】同上。,【性状】本品为深褐色至黑色的小蜜丸；气微，味甘而后苦、辛。,【功能主治】同上。
"【药品名称】
通用名称：暧胃舒乐颗粒
汉语拼音：ai wei shu le ke li",,,【功能主治】温中补虚，调和肝脾，行气止痛。用于脾胃虚寒及肝脾不和所致的脘腹疼痛，腹胀喜温，反酸嗳气；慢性浅表性胃炎见上述症状者。
"【药品名称】
通用名称：安尔眠糖浆
汉语拼音：An’ermian Tangjiang",【成份】丹参、首乌藤、大枣。,【性状】本品为深褐色的液体；味甜，苦、微涩。,【功能主治】安神。用于神经衰弱和失眠。
"【药品名称】
通用名称：安宫牛黄片
汉语拼音：Angong Niuhuang pian",【成份】人工牛黄、水牛角浓缩粉、麝香、珍珠、朱砂(水飞)、雄黄(水飞)、黄连、黄芩、栀子、郁金、冰片、,【性状】 本品为棕红色的片；气芳香，味苦。,【功能主治】清热解毒，镇惊开窍。用于热病，邪入心包，高热惊厥，神昏谵语。
"【药品名称】
通用名称：安康心宝丸
汉语拼音：Ankang Xinbao Wan",【成份】苏合香、沉香蟾酥、冰片、人参麦冬檀香、丁香乳香、香附、荜茇石菖蒲诃子肉,【性状】本品为棕褐色的水蜜丸或大蜜丸；气香、味辛。,【功能主治】芳香开窍，行气活血，通络止痛。用于气滞血痰，痰浊阻窍引起的胸痹闷痛，气短心烦，突然昏厥，
"【药品名称】
通用名称：安络化纤丸
汉语拼音：An Luo Hua Xian Wan",【成份】地黄、三七、水蛭、地龙、牛黄、白术等。,,【功能主治】健脾养肝，凉血活血，软坚散结。用于慢性乙型肝炎、乙肝后早、中期肝硬化、表现为肝脾两虚、瘀热互结症候者，症见胁肋胀痛，脘腹胀满，神疲乏力，口干咽燥，纳食减少，便溏不爽，小便黄等。
"【药品名称】
通用名称：安络痛胶囊
汉语拼音：Anluotong Jiaonang",【成份】本品主要成份为安络痛浸膏。,【性状】本品为胶囊剂，内容物为黄色或浅棕色细颗粒；气微香，味微苦。,【功能主治】通经活血，止痛。用于跌打损伤、风湿性关节炎等肢体关节疼。
"【药品名称】
通用名称：安络痛药酒
汉语拼音：Anluotong Yaojiu",【成份】安络小皮伞菌及培养基。,【性状】本品为黄棕色的澄清溶液，在紫外光灯下观察：具蓝色荧光；气香，味微苦。,【功能主治】通经活络，活血止痛。用于坐骨神经痛，三叉神经痛，风湿性关节痛等。
"【药品名称】
通用名称：安眠补脑糖浆
汉语拼音：Anmian Bunao Tangjiang",【成份】制何首乌、远志(制)、柏子仁、枸杞子、麦冬、五味子(醋制)、桑椹、大枣、红参、炙甘草。,【性状】本品为棕褐色的粘稠液体；气香，味甜。,【功能主治】益气滋肾，养心安神。用于气阴两虚引起的失眠，头昏，头痛，心慌。
"【药品名称】
通用名称：安宁保婴散
汉语拼音：Anning Baoying San",【成份】琥珀、珍珠层粉(水飞)、蛇胆汁、胆南星、茯苓、黄芩提取物、水牛角浓缩粉、白附子、防风、蜜环粉、钩藤、冰片、甘草、,【性状】本品为淡棕色的粉末；气香，味甘、凉。,【功能主治】解热祛风，除痰止咳。用于感冒发热，咳嗽痰多，急性支气管炎。
"【药品名称】
通用名称：安神补气丸（浓缩丸）
汉语拼音：Anshen Buqi Wan",【成份】茯苓、远志、黄芪、党参、熟地黄、柏子仁、酸枣仁、五味子、朱砂、,【性状】本品为朱红色光亮的浓缩丸，除去外衣后，显棕褐色。,【功能主治】　补气养神，宁心健脑。用于气血两亏，虚损发热，心跳气短，夜不安眠，神经衰弱等症。
"【药品名称】
通用名称：安神胶囊
汉语拼音：Anshen jiaonang",【成份】酸枣仁(炒)、知母、丹参、茯苓、川芎、麦冬、制何首乌、五味子。,【性状】本品为胶囊剂，内容物显棕黄色；气清香，味淡。,【功能主治】补血滋阴，养心安神。用于阴血不足，失眠多梦，心悸不宁，五心烦热，盗汗耳鸣。
"【药品名称】
通用名称：安神爽脑口服液
汉语拼音：an shen shuang nao kou fu ye",【成份】人参、五味子、黄芪、刺五加、鹿茸、当归等。,"【性状】本品为棕色至棕红色液体；具有当归香气,味甜微苦。",【功能主治】补益心脾，健脑安神。用于心脾两虚而引起的头昏心悸，健忘失眠，气短乏力，倦怠纳呆。
"【药品名称】
通用名称：安神温胆丸
汉语拼音：Anshen Wendan Wan",【成份】制半夏、陈皮、竹茹、酸枣仁、枳实、远志、五味子、人参、熟地黄、茯苓、朱砂、甘草、大枣、,【性状】本品为棕色的大蜜丸；味酸、甘、微苦。,【功能主治】和胃化痰，安神定志。用于心胆虚怯，触事易惊，心悸不安，虚烦不寐。
"【药品名称】
通用名称：安神养血口服液
汉语拼音：an shen yang xie kou fu ye",【成份】钩藤、制首乌、鸡血藤等。,,【功能主治】养血安神。用于肝血不足引起的失眠，健忘。
"【药品名称】
通用名称：安神足液
汉语拼音：Anshen Zuye",【成份】酸枣仁、柏子仁、合欢皮、首乌藤、当归、栀子、知母、玄参、甲壳素、苯甲酸钠,,"【功能主治】苗医：
中医：清热除烦，养心安神，用于心血亏虚，心火上炎所引起失眠多梦，易醒，心烦。"
"【药品名称】
通用名称：安嗽化痰丸
汉语拼音：Ansou Huatan Wan",【成份】浙贝母、知母、玄参、麦冬、百合、苦杏仁、款冬花、紫菀、罂粟壳、,【性状】本品为黑褐色的大蜜丸；气微，味甜、微苦。,【功能主治】清肺化痰，润肺止咳。用于阴虚肺热引起的咳嗽痰盛，气短喘促咽干口渴，劳伤久嗽，痰中带血。
"【药品名称】
通用名称：阿那日十四味散
汉语拼音：a na ri shi si wei san",【成份】石榴、红花、肉桂、芫荽果、寒水石（热制）、栀子、荜茇、光明盐、白豆蔻、干姜、诃子、肉豆蔻、草果、木香。,"【性状】本品为黄白色粉末；气微,味辛,微咸。",【功能主治】健脾消积，温中散寒。用于脾胃寒湿，胸胁胀满，恶呃痞满，消化不良。
"【药品名称】
通用名称：阿魏麝香化积膏
汉语拼音：ewei Shexiang Huaji Gao",【成份】阿魏、麝香、透骨草、千年健、钻地风、川牛膝、杜仲、附子、当归、防风、高良姜、甘草、川乌、草乌、白芷、穿山甲、细辛、肉桂、,【性状】本品为摊于布上的黑色膏药；气特异。,【功能主治】　化痞消积，追风散寒，活血祛瘀。用于虚寒痞块，肚腹饱胀，腰腿疼痛，筋骨麻木，脾湿胃寒，妇女血寒，行经腹痛。
"【药品名称】
通用名称：艾附暖宫丸（大蜜丸）
汉语拼音：ai fu nuan gong wan(da mi wan)",【成份】艾叶(炭)、香附(醋制)、吴茱萸(制)、肉桂、当归、川芎、白芍(酒炒)、地黄、黄芪(蜜炙)、续断。辅料为蜂蜜,【性状】本品为深褐色至黑色的大蜜丸；气微，味甘而后苦、辛。,【功能主治】暖宫调经。用于经期腰腹冷痛，经血量少，经期错后，带多清稀。
"【药品名称】
通用名称：艾叶油胶囊
汉语拼音：ai xie you jiao nang",【成份】艾叶油,【性状】本品为软胶囊剂，内容物为淡黄色油状的液体；具特异的香气，味微苦。,【功能主治】止咳，祛痰。用于慢性支气管炎的咳嗽痰多。
"【药品名称】
通用名称：安喘片
汉语拼音：Anchuan Pian",【成份】野马追、天仙子、蝉脱、牡荆油、盐酸克仑特罗、马来酸氯苯那敏、,【性状】本品为糖衣片，除去糖衣后显棕黑色；味苦。,【功能主治】止咳祛痰，宣肺平喘。用于痰浊犯肺，肺失宣降，胸闷，咳嗽，喘息，痰多，急慢性支气管炎见上述症候者。
"【药品名称】
通用名称：安宫牛黄胶囊
汉语拼音：Angong Niuhuang Jiaonang",【成份】牛黄、水牛角浓缩粉、麝香、雄黄、朱砂、珍珠、黄芩、栀子、郁金、冰片、黄连。,【性状】本品为胶囊剂，内容物为黄色至橙黄色的粉末；气芳香，味苦。,【功能主治】清热解毒，镇惊开窍。用于热病，邪入心包，高热惊厥，神昏谵语。
"【药品名称】
通用名称：安康颗粒
汉语拼音：Ankang Keli",【成份】红参、银耳、当归、山药、猪脊髓、鹿茸、山楂、,【性状】本品为类白色或微黄色的颗粒；味甜。,【功能主治】　安和五脏，健脑安神。用于头目眩晕，耳鸣，四脚乏力疲软，食欲不振，睡眠不深，多梦。
"【药品名称】
通用名称：安乐片
汉语拼音：Anle Pian",【成份】柴胡、当归、川芎、茯苓、钩藤、首乌藤、白术(炒)、甘草。,【性状】本品为糖衣片，除去糖衣后，显棕褐色；气微香，味微苦。,【功能主治】舒肝解郁，安神。用于精神抑郁，失眠，胸闷不适，纳少神疲，对更年期综合征者亦可使用。
"【药品名称】
通用名称：安络痛酊
汉语拼音： Anluotong Ding",【成份】本品为安络痛浸膏制成的酊剂。,【性状】本品为棕色澄清液体；气香，味微苦。,【功能主治】通经活血，止痛。用于跌打损伤，风湿性关节炎等肢体关节疼痛。
"【药品名称】
通用名称：安络痛片
汉语拼音：Anluotong Pian",【成份】安络小皮伞菌(及其培养基)、乙醇提限物(按干燥品计算)、安络小皮伞菌(及其培养基)粉、,【性状】本品为糖衣片，除去糖衣后显棕褐色；味苦、酸。,【功能主治】通经活络，活血止痛。用于坐骨神经痛，三叉神经痛，风湿性关节痛等。
"【药品名称】
通用名称：安眠补脑口服液
汉语拼音：Anmian Bunao Koufuye",【成份】制何首乌、远志（制）、柏子仁、枸杞子、麦冬、五味子（醋制）、桑椹、大枣、红参甘草（炙）、蔗糖,,【功能主治】益气滋肾，养心安神。用于心肾两虚所致的失眠多梦，健忘，头昏头痛，心慌。
"【药品名称】
通用名称：安脑牛黄片
汉语拼音：Annao Niuhuang Pian",【成份】牛黄、朱砂、冰片、石膏、金银花、连翘、桅子、黄芩、知母、郁金、钩藤、雄黄、黄连、珍珠、辛荑、大青叶、石菖蒲、水牛角浓缩粉、,【性状】本品为糖衣片，除去糖衣后显棕色；气清香，味苦、凉。,【功能主治】清热解毒，安神熄风，开窍镇静。用于神昏谵语，高热惊厥，烦燥不安。
"【药品名称】
通用名称：安神宝颗粒
汉语拼音：Anshenbao Keli",【成份】酸枣仁、枸杞子、北合欢。,【性状】本品为棕黄色的颗粒；味甜、微酸。,【功能主治】补肾益精，养心安神。用于失眠健忘，眩晕耳鸣，腰膝酸软。
"【药品名称】
通用名称：安神健脑液
汉语拼音：Anshen Jiannao Ye",【成份】人参、五味子(醋炙)、麦冬、枸杞子、丹参。,【性状】本品为棕色的液体；气微，味酸甜、涩。,【功能主治】益气养血，滋阴生津，养心安神。用于气血两亏、阴津不足所致的失眠多梦，神疲健忘，头晕头痛，心悸乏力，口干津少。
"【药品名称】
通用名称：安神宁
汉语拼音：Anshen Ning",【成份】刺五加浸膏、灵芝、五味子。,【性状】本品为红棕色的液体，味甜、酸、微辣。,【功能主治】扶正固本，益气健脾，补肾安神。用于神经衰弱，食欲不振，全身无力。
"【药品名称】
通用名称：安神糖浆
汉语拼音：Anshen Tangjiang",【成份】灵芝、合欢皮、仙鹤草、首乌藤、墨旱莲、女贞子(制)、白术(炒)、甘草。,【性状】本品为棕黑色的粘稠液体；味甜而苦涩。,【功能主治】养血安神。用于贫血体虚，头昏，失眠，腰酸，四肢疲乏。
"【药品名称】
通用名称：安神养心丸
汉语拼音：Anshen Yangxin Wan",【成份】熟地黄、琥珀、当归、白术（炒）、川芎、黄芪（制）、甘草、党参、酸枣仁（炒）、石菖蒲、白芍（酒炒）、远志（制）、茯苓。辅料为蜂蜜。,【性状】本品为黑褐色的大蜜丸；味甜、微辛。,【功能主治】补气养血，安神定志，用于气血两亏，机体衰弱，精神恍惚，惊悸失眠。
"【药品名称】
通用名称：安神益脑丸
汉语拼音：Anshen Yinao Wan",【成份】当、归、茯、苓、何首乌、酸枣仁(生、炒各半)、女贞子、合欢皮、黄精、远、志、墨旱莲、朱、砂、桑、叶、,【性状】本品为棕褐色的水蜜丸；气微，味甜、微苦。,"【功能主治】　补肝益肾，养血安神。用于肝肾不足所致的头痛眩晕，心悸不宁,失眠多梦，健忘。"
