"【药品名称】
通用名称：阿酚咖片
商品名称：佩比加
英文名称：Paracetamol ，Aspirin and Caffeine Tablets
汉语拼音：A‘fenka Pian",【成份】本品为复方制剂，其组份为：每片含对乙酰氨基酚250mg、阿司匹林250mg、咖啡因65mg。,【性状】本品为薄膜衣片，除去薄膜衣后显白色或类白色。,"【适应症】
本品适用于治疗偏头痛和暂时缓解轻度的持续性隐痛以及头痛、鼻窦炎、感冒、肌肉痛、经前与经期疼痛、牙痛所伴有的疼痛和轻度关节炎痛。"
"【药品名称】
通用名称：阿桔片
英文名称：Compound Platycodon Tablets
汉语拼音：Ajie pian",【成份】本品为复方制剂，其组分为：每片含阿片粉30mg、桔梗粉90mg、硫酸钾180mg,【性状】本品为淡棕色片。,"【适应症】
有镇咳、祛痰作用。可用于急性支气管炎及慢性支气管炎等有痰的咳嗽。"
"【药品名称】
通用名称：阿咖酚片",,,
"【药品名称】
通用名称：阿奇霉素注射液
商品名称：芙琦星
英文名称：Azithromycin Injection",【成份】本品主要成分为阿奇霉素,【性状】本品为无色澄明液体。,"【适应症】
?
本品适用于敏感致病菌株所引起的下列感染：
1．由肺炎衣原体、流感嗜血杆菌、嗜肺军团菌、卡他摩拉菌、金黄色葡萄球菌或肺炎链球菌引起的需要首先采取静脉滴注治疗的社区获得性肺炎。
2．由沙眼衣原体、淋病双球菌、人型支原体引起的需首先采取静脉滴注治疗的盆腔炎。若怀疑合并厌氧菌感染，应合用抗厌氧菌的抗菌素。"
"【药品名称】
通用名称：阿德福韦酯片
英文名称：Adefovir Dipivoxil Tablets
汉语拼音：Adefuweizhi Pian",【成份】本品主要成份为阿德福韦酯。,"【性状】本品为薄膜衣片, 除去包衣后显白色或类白色。","【适应症】
本品适用于治疗有乙型肝炎病毒活动复制证据，并伴有血清氨基酸转移酶（ALT或AST）持续升高或肝脏组织学活动性病变的肝功能代偿的成年慢性乙型肝炎患者。"
"【药品名称】
通用名称：阿昔洛韦注射液
英文名称：Acyclovir Injection
汉语拼音：A'xiluowei Zhusheye",【成份】本品主要成份为：阿昔洛韦,,"【适应症】
1.单纯疱疹病毒感染：用于免疫缺陷者初发和复发性粘膜皮肤感染的治疗以及反复发作病例的预防；也用于单纯疱疹性脑炎治疗。2.带状疱疹：用于免疫缺陷者严重带状疱疹病人或免疫功能正常者弥散型带状疱疹的治疗。3.免疫缺陷者水痘的治疗。"
"【药品名称】
通用名称：氨茶碱注射液
英文名称：Aminophylline Injection
汉语拼音：Anchajian Zhusheye",【成份】本品主要成份为：氨茶碱,【性状】本品为无色或微黄色的澄明液体。,"【适应症】
适用于支气管哮喘、慢性喘息性支气管炎、慢性阻塞性肺病等缓解喘息症状；也可用于心功能不全和心源性哮喘。"
"【药品名称】
通用名称：氨甲苯酸注射液
英文名称：Aminomethylbenzoic Acid Injection
汉语拼音：Anjiabensuanzhusheye",【成份】本品主要成份为：氨甲苯酸,【性状】本品为无色澄明液体。,"【适应症】
本品主要用于因原发性纤维蛋白溶解过度所引起的出血，包括急性和慢性、局限性或全身性的高纤溶出血，后者常见于癌肿、白血病、妇产科意外、严重肝病出血等。"
"【药品名称】
通用名称：奥沙利铂注射液
汉语拼音：Aoshalibo Zhusheye",,【性状】本品为无色或几乎无色的澄明液体。,"【适应症】
用于经氟尿嘧啶治疗失败后的结直肠癌转移的患者，可单独或联合氟尿嘧啶使用。"
"【药品名称】
通用名称：18种氨基酸葡萄糖注射液
英文名称：Amino Acid and Glucose Injeciton 18
汉语拼音： 18-Anjisuan Putaotang Zhusheye",【成份】L-亮氨酸 L-脯氨酸 L-异亮氨酸 L-苯丙氨酸 L-醋酸赖氨酸 L-苏氨酸 L-蛋氨酸 L-色氨酸 L-组氨酸（N-乙酰-L-色氨酸0.52） L-酪氨酸 L-缬氨酸 L-丙氨酸 L-丝氨酸 甘氨酸 L-精氨酸 L-天门冬氨酸 L-盐酸半胱氨酸 L-谷氨酸 葡萄糖·H2O,【性状】无色或微黄色澄明液体。,"【适应症】
1 改善外科手术前后病人的营养状态。
2 适于各种疾病所引起的营养不良，作为节氮疗法补充营养。"
"【药品名称】
通用名称：5-氨基水杨酸肠溶片
商品名称：安洁莎
英文名称：5-AminosalicylicAcidEnteric-CoatedTablets
汉语拼音：5-Anji Shuiyangsuan Changrongpian",【成份】本品主要成份美沙拉秦。,【性状】本品为棕红色肠溶片，除去包衣后片芯为淡棕色。,"【适应症】
适用于结肠溃疡、结肠炎的治疗。"
"【药品名称】
通用名称：阿苯达唑胶囊",,"【性状】本品为胶囊剂,内容物为白色或类白色粉末。","【适应症】
用于蛔虫并蛲虫玻"
"【药品名称】
通用名称：阿苯达唑颗粒
汉语拼音：Abendazuo Keli",,【性状】本品为淡黄色颗粒。,"【适应症】
用于蛔虫并蛲虫玻"
"【药品名称】
通用名称：阿苯达唑片",【成份】本品主要成份阿苯达唑,【性状】本品为类白色片或薄膜衣片。,"【适应症】
用于蛔虫并蛲虫玻"
"【药品名称】
通用名称：阿苯片
汉语拼音：a ben pian",【成份】本品每片含阿司匹林0.1克，苯巴比妥10毫克。辅料为：淀粉。,【性状】本品为白色片.,"【适应症】
用于6岁以下小儿退热、镇痛、镇惊。"
"【药品名称】
通用名称：阿比多尔分散片
商品名称：玛诺苏
英文名称：Arbidol Dispersible Tablets
汉语拼音：Abiduo’er Fensan Pian",【成份】阿比多尔,【性状】本品为薄膜衣片，除去薄膜衣后显类白色或微黄色。,"【适应症】
治疗由A、B型流感病毒等引起的上呼吸道感染"
"【药品名称】
通用名称：阿达帕林凝胶
汉语拼音：Adapalin Ningjiao",,【性状】本品为白色半透明凝胶,"【适应症】
本品适用于以粉剌，丘疹和脓疱为主要表现的寻常型痤疮的皮肤治疗，亦可用于治疗面部，胸和背部的痤疮。"
"【药品名称】
通用名称：阿伐他汀钙片
英文名称：Atorvastatin Calcium Tablets
汉语拼音：Afatating Gai Pian",【成份】本品主要成份为：阿伐他汀钙,"【性状】本品为白色薄膜衣片,除去膜衣显白色。","【适应症】
用于治疗高胆固醇血症和混合型高脂血症；冠心病和脑中风的防治。"
"【药品名称】
通用名称：阿法骨化醇胶丸
英文名称：Alfacalcidol Soft Capsule
汉语拼音：Afaguhuachun Jiaowan",【成份】本品主要成份为：阿法骨化醇,【性状】本品为红色透明胶丸，内含淡黄色或黄色油状液体。,"【适应症】
（1）佝偻病和软骨病。（2）肾性骨病。（3）骨质疏松症。（4）甲状旁腺功能减退症。"
"【药品名称】
通用名称：阿酚咖敏片
汉语拼音：a fen jia min pian",【成份】本品为复方制剂，每片含阿司匹林230毫克、对乙酰氨基酚126毫克、咖啡因30毫克、马来酸氯苯那敏1毫克。辅料为：,,"【适应症】
适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞等症状。"
"【药品名称】
通用名称：阿加曲班注射液
英文名称：Argatroban Injection
汉语拼音：Ajiaquban Zhusheye",【成份】阿加曲班,【性状】本品为略带粘稠的无色或微黄色的澄明液体。,"【适应症】
用于发病48小时内的缺血性脑梗死急性期病人的神经症状（运动麻痹）、日常活动（步行、起立、坐位保持、饮食）的改善。"
"【药品名称】
通用名称：阿咖酚胶囊
汉语拼音：Akafen Jiaonang",【成份】本品为复方制剂，每粒含对乙酰氨基酚126mg、阿司匹林230mg、咖啡因30mg。辅料为：,,"【适应症】
用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。"
"【药品名称】
通用名称：阿咖酚散
汉语拼音：a jia fen san",【成份】本品为复方制剂，每包含阿司匹林230毫克，对乙酰氨基酚126毫克，咖啡因30毫克。辅料为：,,"【适应症】
用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。"
"【药品名称】
通用名称：阿咖片
汉语拼音：a jia pian",【成份】本品为复方制剂，每片含阿司匹林300毫克，咖啡因35毫克。辅料为：,,"【适应症】
用于缓解普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。"
"【药品名称】
通用名称：阿卡波糖片
商品名称：拜唐苹
英文名称：Acarbose Tablets",【成份】主要成分是阿卡波糖,【性状】本品为类白色或淡黄色片。,"【适应症】
配合饮食控制治疗糖尿病。"
"【药品名称】
通用名称：阿立哌唑口腔崩解片","【成份】阿立哌唑7-[4-[4-（2，3-二氯苯基）-1-哌嗪基]丁氧基]-3，4-二氢喹啉酮
分子式：C23H27Cl2N3O2
分子量：448.38",,"【适应症】
用于治疗精神分裂症。"
"【药品名称】
通用名称：阿仑膦酸钠片
英文名称：Alendronate Sodium Tablets
汉语拼音：Alunlinsuanna Pian",【成份】阿仑膦酸钠,【性状】白色片。,"【适应症】
适应于治疗绝经后妇女的骨质疏松症。"
"【药品名称】
通用名称：阿米卡星洗剂
汉语拼音：Amikaxing Xiji",【成份】阿米卡星。化学名称：O-3-氨基-3-脱氧-α-D-葡吡喃糖基-(1→6)-O-[(6-氨基-6-脱氧-α-D-葡吡喃糖基-(1→4))-N-(4-氨基-2-羟基-1-氧丁基)-2-脱氧-D-链霉胺。,【性状】本品为无色或微黄色的澄清液体。,"【适应症】
用于敏感菌引起的严重外伤感染。"
"【药品名称】
通用名称：阿莫西林/克拉维酸(4:1)片",,,
"【药品名称】
通用名称：阿莫西林/双氯西林钠胶囊",,,
"【药品名称】
通用名称：阿莫西林干混悬剂
英文名称：Amoxicillin For Suspension
汉语拼音：Amoxilin Ganhunxuanji",【成份】本品主要成份为：阿莫西林,【性状】本品为干混悬剂。,"【适应症】
阿莫西林适用于敏感菌（不产β内酰胺酶菌株）所致的下列感染：1．溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染。2．大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生殖道感染。3．溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染。4．溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染。5．急性单纯性淋病。6．本品尚可用于治疗伤寒、伤寒带菌者及钩端螺旋体病；阿莫西林亦可与克拉霉素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。本品为无糖（蔗糖、葡萄糖）配方，特别适合儿童。"
"【药品名称】
通用名称：阿莫西林咀嚼片
英文名称：Amoxicillin Chewable Tablets",【成份】本品主要成分是阿莫西林,【性状】本品为黄色片。,"【适应症】
用于敏感菌引起的上呼吸道感染（包括咽炎、扁桃体炎、鼻窦炎等）、下呼吸道感染（包括急慢性支气管炎、肺炎、肺脓肿、支气管扩张症等）、尿路感染、皮肤及软组织感染等。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾(14:1)干混悬剂",,,
"【药品名称】
通用名称：阿莫西林克拉维酸钾(4:1)干混悬剂
汉语拼音：Amoxillinkelaweisuanjia (14：1) Ganhunxuanji",【成份】本品主要成份阿莫西林、克拉维酸钾，,【性状】本品为类白色均匀乾粉。,"【适应症】
本品可治疗下列感染：上呼吸道感染如：扁桃体炎，鼻窦炎，中耳炎。下呼吸道感染如：急性及慢性支气管炎，大叶性肺炎及支气管肺炎。生殖泌尿道感染：膀胱炎，尿道炎，肾盂肾炎。皮肤及软组织感染：疖，脓肿，蜂窝组织炎，外伤感染。骨和关节感染：骨髓炎。其他感染：感染性流产，盆腔感染，腹腔感染及严重的齿龈脓肿合并颌面部蜂窝组织炎。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾(7:1)分散片",,,
"【药品名称】
通用名称：阿莫西林克拉维酸钾(7:1)片
英文名称：Amoxicillin and Clavulanate Potassium Tablets
汉语拼音：Amoxilin Kelaweisuanjia (7:1) Pian",【成份】本品为复方制剂，其组份为阿莫西林、克拉维酸钾，两者之比为7:1。每袋含阿莫西林200mg，克拉维酸28.5mg。,【性状】本品为薄膜衣片，除去薄膜衣后显类白色或淡黄色。,"【适应症】
本品可用于治疗如下条件中指明的微生物的敏感菌株引起的感染:
1、下呼吸系统感染:由产生β—内酰胺酶的嗜血杆菌或摩拉克菌引起。
2、中耳炎:由产生β—内酰胺酶的嗜血杆菌或摩拉克菌引起。
3、鼻窦炎:由产生β—内酰胺酶的嗜血杆菌或摩拉克菌引起。
4、皮肤及皮肤软组织感染:由产生β—内酰胺酶的葡萄球菌、大肠杆菌或克雷伯杆菌引起。
5、尿路感染:由大肠杆菌、克雷伯杆菌或肠杆菌引起。
尽管本品对以上各种感染有效，但由氨苄青霉素敏感菌引起的感染也可用本品治疗，其原因是本品含有阿莫西林成份。因此对氨苄青霉素敏感的微生物和产生β—内酰胺酶的微生物引发的复合感染均对本品敏感，不需要再另用其它的抗生素。因为阿莫西林在体外对肺炎链球菌比氨苄青霉素和青霉素更有效，因此对氨苄青霉素或青霉素中性敏感的绝大多数的肺炎链球菌对阿莫西林和本品是完全敏感的。
为检测致病菌及其对本品的敏感性，应进行细菌学试验。当感染可能涉及上述的产生β—内酰胺酶的微生物，在细菌学和敏感试验得到结果前须开始治疗。一旦知道结果，如需要，应及时调整治疗方案。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾分散片(2:1)",,,
"【药品名称】
通用名称：阿莫西林克拉维酸钾分散片(7:1)
汉语拼音：Kelaweisuanjia Amoxilin Fensanpian",【成份】克拉维酸钾和阿莫西林。,【性状】本品为类白色至淡黄色，味甜。,"【适应症】
本品可用于治疗如下条件中指明的微生物的敏感菌株引起的感染：1.下呼吸系统感染：由b-内酰胺酶产生菌嗜血杆菌或摩拉克菌引起。2.中耳炎：由b-内酰胺酶产生菌嗜血杆菌或摩拉克菌引起。3.窦炎：由b-内酰胺酶产生菌嗜血杆菌或摩拉克菌引起。4.皮肤及皮肤软组织感染：由b-内酰胺酶产生菌葡萄球菌、大肠杆菌或克雷白杆菌引起。5.尿路感染：由大肠杆菌、克雷白杆菌或肠杆菌引起。尽管本品对以上各种感染有效，但由氨苄青霉素敏感菌引起的感染也可用本品治疗，其原因是本品含有阿莫西林成分。因此本品对氨苄青霉素敏感的微生物和产生b-内酰胺酶的微生物引发的复合感染均有效，不需要再另用其它的抗生素。因为阿莫西林在体外对肺炎链球菌比氨节青霉素和青霉素更有效，因此对氨节青霉素或青霉素敏感的绝大多数的肺炎链球菌对阿莫西林和本品是完全敏感的。为检测致病菌及其对本品的敏感性，应和外科手术一起进行细菌学试验。当感染可能涉及上述的产生b-内酰胺酶的微生物时，在细菌学和敏感试验得到结果前须开始治疗，以便测得致病菌和其对本品的敏感性。一旦知道结果，如需要，应及时调整治疗方案。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾干混悬剂(14:1)",,,
"【药品名称】
通用名称：阿莫西林克拉维酸钾咀嚼片
汉语拼音：Amoxilin Kelaweisuanjia Jujue Pian",【成份】本品为复方制剂，其组分为阿莫西林和克拉维酸钾，两者之比为2：1或4：1,【性状】本品为薄膜衣片，除去包衣后显类白色或淡黄色。,"【适应症】
本品适用于产酶流感嗜血杆菌和卡他莫拉菌所致的下呼吸道感染、中耳炎、鼻窦炎；产酶金黄色葡萄球菌和产酶肠杆菌科细菌如大肠杆菌、克雷伯菌属所致的呼吸道、尿路和皮肤软组织感染等；亦可用于肠球菌所致的轻中度感染。本品也可用于敏感不产酶菌所致的上述各种感染。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾咀嚼片(7:1)
商品名称：艾克尔
英文名称：Amoxicillin and Clavulanate Potassium Chewable Tablets",【成份】本品为复方制剂，其组分为:每片含阿莫西林0.125g，克拉维酸62.5mg。,【性状】本品为薄膜衣片，除去包衣后显类白色或淡黄色。,"【适应症】
本品适用于敏感菌引起的各种感染，如：
1. 上呼吸道感染：鼻窦炎﹑扁桃体炎﹑咽炎﹑中耳炎等。
2. 下呼吸道感染：急性支气管炎﹑慢性支气管炎急性发作﹑肺炎﹑肺脓肿和支气管扩张合并感染等。
3. 泌尿系统感染：膀胱炎﹑尿道炎﹑肾盂肾炎﹑前列腺炎﹑盆腔炎﹑淋球菌尿路感染及软性下疳等。 4. 皮肤和软组织感染：疖﹑脓肿﹑蜂窝组织炎﹑伤口感染﹑腹内脓毒症等。
5. 其它感染：骨髓炎﹑败血症﹑腹膜炎和手术后感染等。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾片
英文名称：Amoxicillinand Clavulanate Potassium Tablets
汉语拼音：Amoxilin Kelaweisuanjia Pian",【成份】本品为复方制剂，其组分为阿莫西林和克拉维酸钾,【性状】本品为薄膜衣片，除去包衣后显类白色或淡黄色。,"【适应症】
本品适用于敏感菌引起的各种感染，如：1．上呼吸道感染：鼻窦炎、扁桃体炎、咽炎等。2．下呼吸道感染：急性支气管炎、慢性支气管炎急性发作、肺炎、肺脓肿和支气管合并感染等。3．泌尿系统感染：膀胱炎、尿道炎、肾盂肾炎、前列腺炎、盆腔炎、淋病奈瑟菌尿路感染及软性下疳等。4．皮肤和软组织感染：疖、脓肿、蜂窝组织炎、伤口感染、腹内脓毒症等。5．其他感染：中耳炎、骨髓炎、败血症、腹膜炎和手术后感染等。"
"【药品名称】
通用名称：阿莫西林克拉维酸钾片(7:1)
汉语拼音：Amoxilinkelaweisuanjia Pian",【成份】阿莫西林、克拉维酸钾。,【性状】本品为薄膜衣片，除去包衣后显类白色或淡黄色。,"【适应症】
本品适用于敏感菌引起的各种感染，如：1.上呼吸道感染：鼻窦炎、扁桃体炎、咽炎等。2.下呼吸道感染：急性支气管炎、慢性支气管炎急性发作、肺炎、肺脓肿和支气管合并感染等。3.泌尿系统感染：膀胱炎、尿道炎、肾盂肾炎、前列腺炎、盆腔炎、淋病奈瑟菌尿路感染及软性下疳等。4.皮肤和软组织感染：疖、脓肿、蜂窝组织炎、伤口感染、腹内脓毒症等。5.其他感染：中耳炎、骨髓炎、败血症、腹膜炎和手术后感染等。"
"【药品名称】
通用名称：阿卡波糖胶囊",,,
"【药品名称】
通用名称：阿克他利片
英文名称：Actarit Tablets",【成份】本品主要成分为阿克他利,【性状】本品为白色或类白色片。,"【适应症】
类风湿关节炎。"
"【药品名称】
通用名称：阿立哌唑片
汉语拼音：Alipaizuo Pian",【成份】阿立哌唑。,,"【适应症】
用于治疗精神分裂症。"
"【药品名称】
通用名称：阿米卡星滴眼液
英文名称：Amikacin Eye Drops
汉语拼音：Amikaxing Diyanye",【成份】阿米卡星,【性状】本品为无色或微黄色澄明液体。,"【适应症】
适用于敏感菌所致结膜炎、角膜炎等。"
"【药品名称】
通用名称：阿米三嗪萝巴新片",,,"【适应症】
1.治疗老年人认知和慢性感觉神经损害的有关症状(不包括阿尔茨海默病和其他类型的痴呆)；2.血管源性视觉损害和视野障碍的辅助治疗；3.血管源性听觉损害、眩晕和/或耳鸣的辅助治疗。"
"【药品名称】
通用名称：阿莫西林/克拉维酸钾片
商品名称：中诺艾林
英文名称：Amoxillin and Clavulanate Potassium Tablets",【成份】本品为复方制剂，其组分为阿莫西林和克拉维酸钾。,【性状】本品为薄膜衣片，除去包衣后显类白色或淡黄色 色或类黄色；味微苦，有引湿性。,"【适应症】
本品适用于敏感菌引起的各种感染
1.上呼吸道感染:鼻窦炎、扁桃体炎、咽炎等。
2.下呼吸道感染:急性支气管炎、慢性支气管炎急性发作、肺炎、肺脓肿和支气管合并感染等。
3.泌尿系统感染:膀胱炎、尿道炎、肾盂肾炎、前列腺炎、盆腔炎、淋病奈瑟菌尿路感染及软性下疳等。
4.皮肤和软组织感染:疖、脓肿、蜂窝组织炎、伤口感染、腹内脓毒症等。
5.其他感染:中耳炎、骨髓炎、败血症、腹膜炎和手术后感染等。"
